satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,sales_IT,sales_RandD,sales_accounting,sales_hr,sales_management,sales_marketing,sales_product_mng,sales_sales,sales_support,sales_technical,left
0.71,0.69,0.4,0.3925233644859813,0.125,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0
0.74,0.55,0.4,0.7757009345794392,0.125,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0.87,0.62,0.2,0.37383177570093457,0.125,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0
0.71,0.87,0.2,0.37850467289719625,0.25,0,0,0.5,0,0,0,1,0,0,0,0,0,0,1
0.64,0.52,0.2,0.6728971962616822,0.125,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0
0.11,0.97,0.8,0.9018691588785047,0.375,0,0,0.5,0,0,0,0,0,0,0,0,1,0,1
0.18,0.48,0.4,0.6728971962616822,0.25,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.67,0.81,0.4,0.3364485981308411,0.0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0
0.73,0.92,0.6,0.794392523364486,0.375,0,0,0.5,0,0,0,0,0,0,0,0,1,0,1
0.85,0.98,0.6,0.7102803738317757,0.375,0,0,0.5,0,0,0,0,0,0,1,0,0,0,1
0.5,0.53,0.2,0.4439252336448598,0.0,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0.59,0.81,0.4,0.48598130841121495,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0.6,0.6,0.4,0.49065420560747663,0.125,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0
0.84,0.56,0.6,0.004672897196261682,0.5,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.79,0.94,0.4,0.5607476635514018,0.25,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.86,0.81,0.2,0.6355140186915887,0.25,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0
0.44,0.51,0.0,0.2616822429906542,0.125,0,0,0.5,0,0,0,0,0,0,1,0,0,0,1
0.98,0.62,0.2,0.5,0.0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0
0.72,0.71,0.6,0.7102803738317757,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
0.93,1.0,0.4,0.22897196261682243,0.125,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0
0.87,0.72,0.0,0.27102803738317754,0.125,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0
0.91,0.75,0.0,0.2383177570093458,0.125,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
0.58,0.92,0.2,0.6355140186915887,0.375,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0
0.11,0.87,0.8,0.9766355140186916,0.25,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1
0.51,0.41,0.8,0.04672897196261682,0.375,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.89,0.55,0.2,0.7663551401869159,0.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0
0.83,0.55,0.2,0.7523364485981309,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
0.49,0.73,0.4,0.4158878504672897,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.11,0.77,0.8,0.7850467289719626,0.25,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
0.24,0.85,0.4,0.29906542056074764,0.375,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.97,0.61,0.2,0.32242990654205606,0.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0
0.76,0.93,0.6,0.6635514018691588,0.375,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1
0.25,0.94,0.8,0.48130841121495327,0.25,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0
0.84,0.5,0.4,0.38317757009345793,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.75,0.88,0.4,0.6682242990654206,0.375,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
0.11,0.97,1.0,1.0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,1,0,1
0.94,0.78,0.2,0.5700934579439252,0.0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.78,0.87,0.4,0.616822429906542,0.375,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
0.67,0.6,0.4,0.5327102803738317,0.125,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0.37,0.5,0.0,0.1822429906542056,0.125,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1
0.94,0.58,0.4,0.5607476635514018,0.125,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0
0.46,0.53,0.0,0.3037383177570093,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
0.95,0.8,0.2,0.602803738317757,0.0,0,0,1.0,0,0,0,0,0,0,0,1,0,0,0
0.79,0.65,0.6,0.5560747663551402,0.0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.71,0.61,0.0,0.4766355140186916,0.0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0
0.68,0.63,0.6,0.4158878504672897,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0
0.1,0.91,0.8,0.8925233644859814,0.25,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
0.53,0.49,0.2,0.4439252336448598,0.125,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0
0.81,0.77,0.2,0.5841121495327103,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.39,0.54,0.0,0.2757009345794392,0.125,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
0.72,0.61,0.2,0.3691588785046729,0.125,0,0,1.0,0,0,0,0,0,0,0,1,0,0,0
0.2,0.58,0.6,0.48130841121495327,0.25,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.66,0.84,0.2,0.5373831775700935,0.25,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0
0.24,0.91,0.6,0.37850467289719625,0.375,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.88,0.86,0.2,0.4252336448598131,0.125,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
0.57,0.43,0.2,0.3317757009345794,0.125,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.5,0.69,0.6,0.35514018691588783,0.0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0
0.4,0.56,0.0,0.24766355140186916,0.125,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1
0.55,0.58,0.2,0.7383177570093458,0.0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0
0.1,0.94,0.8,0.883177570093458,0.25,0,0,0.5,0,0,0,0,0,0,0,0,1,0,1
0.5,0.91,0.2,0.5420560747663551,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.94,0.58,0.6,0.5887850467289719,0.125,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.34,0.67,0.4,0.2102803738317757,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
0.98,0.7,0.2,0.26635514018691586,1.0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0
0.71,0.96,0.4,0.3037383177570093,0.125,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0.9,0.77,0.2,0.2803738317757009,0.125,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.28,0.83,0.4,0.308411214953271,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.83,0.93,0.6,0.7523364485981309,0.375,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
0.75,0.86,0.8,0.24299065420560748,0.25,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.87,0.48,0.6,0.6822429906542056,0.125,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.82,0.92,0.6,0.602803738317757,0.375,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
0.88,0.51,0.2,0.5233644859813084,0.125,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0
0.83,0.95,0.2,0.5373831775700935,0.0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.98,0.97,0.2,0.4672897196261682,0.125,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0
0.52,0.61,0.6,0.308411214953271,0.125,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0
0.4,0.59,0.2,0.07009345794392523,0.25,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.89,0.73,0.2,0.8317757009345794,0.0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.9,1.0,0.6,0.5841121495327103,0.375,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
0.86,0.65,0.4,0.6869158878504673,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.5,0.54,0.4,0.3691588785046729,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.42,0.48,0.0,0.205607476635514,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
0.45,0.47,0.0,0.2523364485981308,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
0.52,0.61,0.4,0.4252336448598131,0.25,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.44,0.41,0.2,0.13551401869158877,0.625,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.56,0.67,0.4,0.411214953271028,0.125,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
0.54,0.67,0.4,0.8691588785046729,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0
0.79,0.72,0.4,0.4485981308411215,0.125,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.91,0.55,0.2,0.5934579439252337,0.25,1,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.59,0.58,0.0,0.7990654205607477,0.125,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.6,0.56,0.6,0.8037383177570093,0.0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0
0.92,0.9,0.4,0.7149532710280374,0.125,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.1,0.84,0.6,0.9672897196261683,0.375,0,0,0.5,0,0,1,0,0,0,0,0,0,0,1
0.72,1.0,0.4,0.2570093457943925,0.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0
0.74,0.54,0.6,0.5607476635514018,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
0.89,0.91,0.6,0.7663551401869159,0.375,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
0.88,0.68,0.6,0.5981308411214953,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.91,0.84,0.6,0.7897196261682243,0.375,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1
0.84,0.59,0.2,0.6448598130841121,0.125,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.95,0.81,0.4,0.6635514018691588,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.95,0.62,0.4,0.7429906542056075,0.0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.43,0.5,0.0,0.24299065420560748,0.125,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
0.18,0.5,0.4,0.3411214953271028,0.25,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.9,0.62,0.4,0.7570093457943925,0.125,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0
0.83,0.95,0.6,0.6261682242990654,0.375,0,0,0.5,1,0,0,0,0,0,0,0,0,0,1
0.12,0.73,0.8,0.32710280373831774,0.125,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.6,0.65,0.0,0.602803738317757,1.0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0
0.91,0.55,0.0,0.6448598130841121,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.84,0.85,0.2,0.6869158878504673,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0
0.49,0.91,0.4,0.17757009345794392,0.25,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0
0.92,0.51,0.2,0.5934579439252337,0.0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.91,0.82,0.0,0.677570093457944,0.125,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.47,0.56,0.4,0.6074766355140186,0.125,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
0.46,0.55,0.0,0.2383177570093458,0.125,0,0,0.5,0,0,0,0,0,0,1,0,0,0,1
0.69,0.67,0.4,0.2102803738317757,0.125,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.41,0.5,0.0,0.14953271028037382,0.125,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1
0.35,0.52,0.2,0.2757009345794392,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.83,0.88,0.2,0.5654205607476636,0.0,1,0,1.0,0,0,0,0,0,0,0,0,1,0,0
0.56,0.39,0.2,0.04672897196261682,0.75,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0
0.31,0.59,0.4,0.19626168224299065,0.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0
0.6,0.68,0.4,0.8177570093457944,0.25,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.59,0.87,0.4,0.4439252336448598,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.11,0.82,0.8,0.9719626168224299,0.25,1,0,0.0,0,0,1,0,0,0,0,0,0,0,1
0.78,0.6,0.0,0.514018691588785,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
0.69,0.73,0.4,0.7523364485981309,1.0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.88,0.88,0.2,0.5794392523364486,0.25,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0
0.5,0.68,0.2,0.6962616822429907,0.25,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0
0.23,0.84,0.6,0.205607476635514,0.25,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.36,0.48,0.0,0.29439252336448596,0.125,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1
0.54,0.61,0.4,0.2570093457943925,0.25,1,0,0.5,0,0,0,0,0,0,0,0,1,0,0
0.44,0.45,0.0,0.2803738317757009,0.125,0,0,0.5,0,0,0,0,0,0,0,1,0,0,1
0.69,0.62,0.4,0.40654205607476634,0.25,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0.62,0.82,0.2,0.5046728971962616,1.0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0
0.97,0.95,0.2,0.7523364485981309,0.0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0
0.74,0.79,0.6,0.11682242990654206,0.375,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0
0.1,0.86,0.6,0.7336448598130841,0.25,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
0.75,0.92,0.2,0.5373831775700935,0.125,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.8,0.97,0.6,0.7570093457943925,0.125,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0
0.49,0.57,0.4,0.2336448598130841,0.25,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0
0.72,0.6,0.2,0.7897196261682243,0.0,1,0,1.0,0,0,0,0,0,0,0,1,0,0,0
0.51,0.91,0.4,0.514018691588785,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.11,0.84,0.8,0.8925233644859814,0.25,0,0,0.5,0,0,1,0,0,0,0,0,0,0,1
0.72,0.87,0.2,0.6635514018691588,0.125,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0
0.13,0.48,0.2,0.5327102803738317,0.125,0,0,1.0,0,0,0,0,0,0,0,1,0,0,0
0.51,0.75,0.4,0.3691588785046729,0.0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0
0.84,0.62,0.6,0.6962616822429907,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0
0.59,0.82,0.2,0.308411214953271,0.0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0
0.72,0.67,0.2,0.3177570093457944,0.25,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0
0.31,0.92,0.4,0.17289719626168223,0.5,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0
0.11,0.89,0.8,0.9205607476635514,0.25,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
0.82,0.52,0.6,0.602803738317757,0.0,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0
0.11,0.87,0.8,0.9813084112149533,0.25,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
0.2,0.51,0.0,0.3130841121495327,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0
0.51,0.63,0.4,0.4766355140186916,0.0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0
0.91,0.64,0.2,0.677570093457944,1.0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.88,0.57,0.4,0.7710280373831776,0.25,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.09,0.87,0.8,0.794392523364486,0.25,0,0,0.5,0,0,0,0,0,0,0,0,1,0,1
0.89,0.74,0.4,0.3644859813084112,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.1,0.84,0.8,0.7710280373831776,0.25,0,0,0.5,0,0,1,0,0,0,0,0,0,0,1
0.71,0.72,0.4,0.19158878504672897,0.125,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.37,0.49,0.2,0.37850467289719625,0.125,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0
0.92,0.85,0.2,0.2570093457943925,0.5,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.85,0.58,0.2,0.6074766355140186,0.0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,1
0.62,0.66,0.4,0.21962616822429906,0.125,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0
0.4,0.5,0.0,0.18691588785046728,0.125,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1
0.53,0.74,0.6,0.397196261682243,0.0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.77,0.51,0.4,0.2102803738317757,0.125,1,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.73,0.81,0.4,0.6962616822429907,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.86,0.58,0.2,0.2570093457943925,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.8,0.77,0.6,0.7476635514018691,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.15,0.39,0.6,0.6214953271028038,0.25,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.64,0.72,0.4,0.7336448598130841,0.25,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0
0.15,0.74,0.8,0.5420560747663551,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.1,0.92,1.0,0.8271028037383178,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1
0.87,0.56,0.4,0.11682242990654206,0.0,0,1,0.5,0,0,0,0,0,0,0,0,0,1,0
0.46,0.79,0.0,0.056074766355140186,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.37,0.46,0.0,0.2803738317757009,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
1.0,0.93,0.6,0.40186915887850466,0.125,1,0,0.5,0,0,0,0,0,0,0,0,1,0,0
0.65,0.82,0.4,0.7523364485981309,0.125,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.1,0.9,0.8,0.9579439252336449,0.375,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
0.95,0.76,0.2,0.6542056074766355,0.0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.61,0.9,0.0,0.21495327102803738,0.125,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0
0.69,0.76,0.4,0.7523364485981309,0.25,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.9,0.85,0.6,0.308411214953271,0.0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0
0.09,0.62,0.8,0.9252336448598131,0.25,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1
0.75,0.76,0.6,0.3691588785046729,0.25,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.54,0.84,0.4,0.5934579439252337,0.125,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0
0.53,0.83,0.4,0.7149532710280374,0.125,1,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.73,0.99,0.6,0.677570093457944,0.375,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
0.53,0.68,0.2,0.7570093457943925,0.125,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.93,0.96,0.6,0.1822429906542056,0.125,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0
1.0,0.52,0.4,0.35046728971962615,0.25,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0
0.84,0.56,0.6,0.5981308411214953,0.0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0
0.27,0.59,0.6,0.6074766355140186,0.375,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.67,0.97,0.6,0.6682242990654206,0.125,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0.6,0.5,0.2,0.5373831775700935,0.125,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0
0.66,0.61,0.2,0.2803738317757009,0.125,1,0,0.5,0,0,0,0,0,0,0,0,0,1,0
